Office,Name,Party,Date assumed office
Illinois State Senate District 1,Javier Loera Cervantes,Democratic,"January 11, 2023"
Illinois State Senate District 2,Omar Aquino,Democratic,2017
Illinois State Senate District 3,Mattie Hunter,Democratic,2003
Illinois State Senate District 4,Kimberly Lightford,Democratic,1998
Illinois State Senate District 5,Patricia Van Pelt,Democratic,2013
Illinois State Senate District 6,Sara Feigenholtz,Democratic,"January 21, 2020"
Illinois State Senate District 7,Mike Simmons,Democratic,"February 6, 2021"
Illinois State Senate District 8,Ram Villivalam,Democratic,"January 9, 2019"
Illinois State Senate District 9,Laura Fine,Democratic,"January 9, 2019"
Illinois State Senate District 10,Robert Martwick,Democratic,"June 28, 2019"
Illinois State Senate District 11,Mike Porfirio,Democratic,"January 11, 2023"
Illinois State Senate District 12,Celina Villanueva,Democratic,"January 11, 2023"
Illinois State Senate District 13,Robert Peters,Democratic,2019
Illinois State Senate District 14,Emil Jones,Democratic,2009
Illinois State Senate District 15,Napoleon Harris,Democratic,2013
Illinois State Senate District 16,Willie Preston,Democratic,"January 11, 2023"
Illinois State Senate District 17,"Elgie R. Sims, Jr.",Democratic,2018
Illinois State Senate District 18,Bill Cunningham,Democratic,2013
Illinois State Senate District 19,Michael Hastings,Democratic,2013
Illinois State Senate District 20,Cristina Pacione-Zayas,Democratic,"December 21, 2020"
Illinois State Senate District 21,Laura Ellman,Democratic,"January 9, 2019"
Illinois State Senate District 22,Cristina Castro,Democratic,2017
Illinois State Senate District 23,Suzanne Glowiak Hilton,Democratic,"January 11, 2023"
Illinois State Senate District 24,Seth Lewis,Republican,"January 11, 2023"
Illinois State Senate District 25,Karina Villa,Democratic,"January 13, 2021"
Illinois State Senate District 26,Dan McConchie,Republican,2016
Illinois State Senate District 27,Ann Gillespie,Democratic,"January 9, 2019"
Illinois State Senate District 28,Laura Murphy,Democratic,"October 5, 2015"
Illinois State Senate District 29,Julie Morrison,Democratic,2013
Illinois State Senate District 30,Adriane Johnson,Democratic,"October 11, 2020"
Illinois State Senate District 31,Mary Edly-Allen,Democratic,"January 11, 2023"
Illinois State Senate District 32,Craig Wilcox,Republican,"October 1, 2018"
Illinois State Senate District 33,Don DeWitte,Republican,"September 3, 2018"
Illinois State Senate District 34,Steve Stadelman,Democratic,2013
Illinois State Senate District 35,Dave Syverson,Republican,1993
Illinois State Senate District 36,Michael Halpin,Democratic,"January 11, 2023"
Illinois State Senate District 37,Win Stoller,Republican,"January 13, 2021"
Illinois State Senate District 38,Sue Rezin,Republican,2010
Illinois State Senate District 39,Don Harmon,Democratic,2003
Illinois State Senate District 40,Patrick Joyce,Democratic,"November 8, 2019"
Illinois State Senate District 41,John Curran,Republican,2017
Illinois State Senate District 42,Linda Holmes,Democratic,2007
Illinois State Senate District 43,Rachel Ventura,Democratic,"January 11, 2023"
Illinois State Senate District 44,Sally Turner,Republican,"January 25, 2021"
Illinois State Senate District 45,Andrew Chesney,Republican,"January 11, 2023"
Illinois State Senate District 46,David Koehler,Democratic,2006
Illinois State Senate District 47,Neil Anderson,Republican,"January 11, 2023"
Illinois State Senate District 48,Doris Turner,Democratic,"February 6, 2021"
Illinois State Senate District 49,Meg Loughran Cappel,Democratic,"December 10, 2020"
Illinois State Senate District 50,Jil Tracy,Republican,"January 11, 2023"
Illinois State Senate District 51,Chapin Rose,Republican,2013
Illinois State Senate District 52,Paul Faraci,Democratic,"January 11, 2023"
Illinois State Senate District 53,Thomas Bennett,Republican,"January 12, 2023"
Illinois State Senate District 54,Steve McClure,Republican,"January 11, 2023"
Illinois State Senate District 55,Jason Plummer,Republican,"January 11, 2023"
Illinois State Senate District 56,Erica Harriss,Republican,"January 11, 2023"
Illinois State Senate District 57,Christopher Belt,Democratic,"January 9, 2019"
Illinois State Senate District 58,Terri Bryant,Republican,"January 13, 2021"
Illinois State Senate District 59,Dale Fowler,Republican,2017
